City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
492,colonia,50.9333,6.95,64.74,89,99,0.0,DE,1693708407
493,mandiana,10.6333,-8.6833,70.7,98,100,6.4,GN,1693708599
494,kailua-kona,19.6406,-155.9956,85.28,77,40,9.22,US,1693708343
495,codrington,-38.2667,141.9667,63.82,60,0,15.32,AU,1693708600
496,tshabong,-26.05,22.45,56.5,31,53,6.8,BW,1693708600
497,kourou,5.1552,-52.6478,77.05,76,12,10.0,GF,1693708600
498,kudahuvadhoo,2.6708,72.8944,79.68,78,100,20.22,MV,1693708601
499,florenville,49.6998,5.3074,62.53,95,73,4.25,BE,1693708601
500,khapa,21.4333,78.9667,84.15,71,97,5.44,IN,1693708602
501,dunedin,-45.8742,170.5036,51.8,74,100,1.01,NZ,1693708602
502,kismayo,-0.3582,42.5454,76.19,85,18,14.67,SO,1693708602
503,morondava,-20.2833,44.2833,69.08,62,2,5.68,MG,1693708603
504,loa janan,-0.583,117.095,90.41,48,30,6.04,ID,1693708564
505,boguchany,58.3814,97.4531,58.05,40,100,3.04,RU,1693708603
506,barra,-11.0894,-43.1417,74.82,48,0,6.71,BR,1693708604
507,tupanatinga,-8.7533,-37.3397,63.9,97,21,8.41,BR,1693708604
508,tinajo,29.0788,-13.7081,72.48,73,20,13.8,ES,1693708604
509,tobruk,32.0836,23.9764,77.47,68,0,16.78,LY,1693708605
510,kassala,15.451,36.4,80.4,53,42,1.59,SD,1693708605
511,amos,48.5669,-78.1162,66.18,75,88,5.37,CA,1693708605
512,mishan,45.55,131.8833,76.75,64,35,5.7,CN,1693708606
513,salalah,17.0151,54.0924,82.49,83,75,2.3,OM,1693708606
514,yanchep,-31.55,115.6833,59.95,57,70,20.29,AU,1693708606
515,taltal,-25.4,-70.4833,59.65,74,7,1.28,CL,1693708607
516,guadix,37.2993,-3.1392,61.12,86,100,10.22,ES,1693708607
517,novaya igirma,57.1334,103.9112,55.09,40,16,4.07,RU,1693708607
518,mbanza-ngungu,-5.25,14.8667,67.06,78,4,7.29,CD,1693708607
519,konarka,19.9,86.1167,81.0,69,94,10.67,IN,1693708608
520,soro,21.2881,86.6858,90.07,60,100,3.27,IN,1693708608
521,nadi,-17.8,177.4167,84.2,65,20,16.11,FJ,1693708422
522,talakan,50.3167,130.3667,63.86,45,95,8.81,RU,1693708609
523,pelabuhan klang,3.0,101.4,86.2,78,100,6.51,MY,1693708609
524,naberera,-4.2,36.9333,59.61,81,84,8.19,TZ,1693708609
525,daru,-9.0763,143.2092,80.26,61,93,13.13,PG,1693708610
526,margherita,27.2833,95.6833,89.4,61,1,2.82,IN,1693708610
527,el abiodh sidi cheikh,32.893,0.5484,85.23,18,80,20.47,DZ,1693708610
528,freetown,8.484,-13.2299,78.51,94,75,9.22,SL,1693708611
529,brattleboro,42.8509,-72.5579,71.85,79,100,1.99,US,1693708611
530,cidreira,-30.1811,-50.2056,63.95,87,82,5.64,BR,1693708612
531,shakhun'ya,57.6758,46.6114,52.18,82,0,4.54,RU,1693708396
532,ambovombe,-25.1667,46.0833,64.74,88,0,4.76,MG,1693708613
533,filey,54.21,-0.2892,58.28,85,100,1.99,GB,1693708613
534,hastings,50.8552,0.5729,62.92,50,85,8.93,GB,1693708613
535,ouallam,14.3188,2.0866,78.85,70,97,9.71,NE,1693708614
536,tura,25.5198,90.2201,84.74,79,40,1.07,IN,1693708614
537,moyale,3.5167,39.0584,64.6,73,7,9.64,KE,1693708614
538,peterhead,57.5058,-1.7981,61.2,77,100,7.63,GB,1693708614
539,sola,-13.8833,167.55,78.85,87,29,14.34,VU,1693708615
540,zeya,53.75,127.2667,57.74,32,5,6.04,RU,1693708396
541,murzuq,25.9155,13.9184,85.03,21,1,8.63,LY,1693708615
542,port douglas,-16.4833,145.4667,76.39,54,100,9.98,AU,1693708616
543,qamdo,31.1667,97.2333,51.84,41,9,3.58,CN,1693708616
544,burkburnett,34.0979,-98.5706,85.89,36,2,4.0,US,1693708616
545,portland,45.5234,-122.6762,84.24,48,0,4.61,US,1693708194
546,arno,60.1167,18.6333,55.78,95,68,7.49,SE,1693708617
547,la ronge,55.1001,-105.2842,62.85,63,100,9.22,CA,1693708617
548,colares,38.7992,-9.4469,67.33,77,14,25.01,PT,1693708618
549,praia,14.9215,-23.5087,81.14,83,0,11.5,CV,1693708618
550,bennettsville,34.6174,-79.6848,69.94,88,0,0.0,US,1693708618
551,polewali,-3.4324,119.3435,87.69,53,27,6.69,ID,1693708619
552,tamanrasset,22.785,5.5228,78.71,29,20,5.75,DZ,1693708619
553,mountainside,40.6723,-74.3574,71.98,79,75,5.75,US,1693708619
554,selkirk,50.1436,-96.8845,86.14,47,0,4.0,CA,1693708620
555,soure,-0.7167,-48.5233,80.56,72,97,11.61,BR,1693708620
556,pathein,16.7833,94.7333,84.22,80,100,6.87,MM,1693708620
557,mabaruma,8.2,-59.7833,77.94,86,0,4.81,GY,1693708621
558,prince rupert,54.3161,-130.3201,56.89,94,75,12.66,CA,1693708607
559,yebaishou,41.3975,119.6408,67.21,79,95,6.76,CN,1693708621
560,dauphin,51.1494,-100.0502,75.34,46,0,10.36,CA,1693708622
561,nalut,30.3333,10.85,81.28,45,3,21.36,LY,1693708622
562,necochea,-38.5473,-58.7368,43.59,80,95,5.99,AR,1693708622
